,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,totalPairs,pair_percent_of_total,pair_percent_of_x,pair_percent_of_y,perc_x_y_sum,score
7480,shoegaze,dream pop,501,6259,10987,2435982,0.000205666544334,0.0800447355808,0.0455993446801,0.125644080261,75.0680313432
11839,shoegaze,indie,679,6259,122729,2435982,0.000278737691822,0.108483783352,0.00553251472757,0.11401629808,16.7295053764
15248,shoegaze,post-rock,208,6259,5761,2435982,8.53865094241e-05,0.0332321457102,0.0361048429092,0.0693369886194,10.2450269043
15178,shoegaze,post-punk,222,6259,10731,2435982,9.11336783277e-05,0.0354689247484,0.0206877271457,0.056156651894,6.68712901369
15474,shoegaze,psychedelic,253,6259,17611,2435982,0.000103859552328,0.0404217926186,0.0143660212367,0.0547878138554,6.03112764339
12544,shoegaze,indie rock,357,6259,56197,2435982,0.00014655280704,0.0570378654737,0.00635265227681,0.0633905177505,5.31021970482
3912,shoegaze,alternative,446,6259,114909,2435982,0.000183088380784,0.0712573893593,0.0038813321846,0.0751387215439,5.06374123557
19849,shoegaze,ethereal,121,6259,2472,2435982,4.96719598092e-05,0.0193321616872,0.0489482200647,0.0682803817519,4.70033290293
4605,shoegaze,ambient,180,6259,19120,2435982,7.3892171617e-05,0.0287585876338,0.00941422594142,0.0381728135752,2.00055548495
9086,shoegaze,experimental,210,6259,33393,2435982,8.62075335532e-05,0.0335516855728,0.00628874314976,0.0398404287225,1.81896113723
9785,shoegaze,female vocalists,224,6259,61719,2435982,9.19547024568e-05,0.035788464611,0.00362935238743,0.0394178169984,1.19438997017
12284,shoegaze,indie pop,192,6259,41195,2435982,7.88183163915e-05,0.0306758268094,0.00466075980095,0.0353365866103,1.1268864387
16837,shoegaze,rock,276,6259,129905,2435982,0.000113301329813,0.0440965010385,0.00212462953697,0.0462211305755,1.0615057537
4373,shoegaze,alternative rock,189,6259,54194,2435982,7.75867801979e-05,0.0301965170155,0.00348747093774,0.0336839879532,0.817062312935
26858,shoegaze,shoegazer,18,6259,54,2435982,7.3892171617e-06,0.00287585876338,0.333333333333,0.336209192097,0.708344830967
26862,shoegaze,tweegaze,19,6259,76,2435982,7.79972922624e-06,0.00303562869468,0.25,0.253035628695,0.591927046248
4972,shoegaze,american,158,6259,46372,2435982,6.48609061972e-05,0.0252436491452,0.00340722849996,0.0286508776452,0.557874367219
14028,shoegaze,noise pop,55,6259,2096,2435982,2.25781635496e-05,0.00878734622144,0.0262404580153,0.0350278042367,0.520616302888
1306,shoegaze,Dreamy,50,6259,1621,2435982,2.0525603227e-05,0.00798849656495,0.0308451573103,0.0388336538752,0.505764068081
8186,shoegaze,electronic,184,6259,85203,2435982,7.55342198752e-05,0.029397667359,0.00215954837271,0.0315572157317,0.479534166756
2065,shoegaze,Lo-Fi,91,6259,13954,2435982,3.73565978731e-05,0.0145390637482,0.00652142754766,0.0210604912959,0.354198266936
14070,shoegaze,noise rock,47,6259,2422,2435982,1.92940670333e-05,0.00750918677105,0.0194054500413,0.0269146368123,0.281151502376
26104,shoegaze,4ad,22,6259,264,2435982,9.03126541986e-06,0.00351493848858,0.0833333333333,0.0868482718219,0.264536186873
13994,shoegaze,noise,45,6259,2617,2435982,1.84730429043e-05,0.00718964690845,0.0171952617501,0.0243849086585,0.228378277084
5268,shoegaze,atmospheric,45,6259,2725,2435982,1.84730429043e-05,0.00718964690845,0.0165137614679,0.0237034083763,0.219326954543
12765,shoegaze,instrumental,66,6259,10841,2435982,2.70937962596e-05,0.0105448154657,0.00608799926206,0.0166328147278,0.173933579931
26508,shoegaze,post rock,27,6259,908,2435982,1.10838257426e-05,0.00431378814507,0.0297356828194,0.0340494709645,0.142176041238
2343,shoegaze,Neo-Psychedelia,33,6259,1747,2435982,1.35468981298e-05,0.00527240773286,0.0188895248998,0.0241619326327,0.134917997999
15550,shoegaze,psychedelic pop,33,6259,2301,2435982,1.35468981298e-05,0.00527240773286,0.0143415906128,0.0196139983456,0.102434481749
14792,shoegaze,pop,112,6259,92415,2435982,4.59773512284e-05,0.0178942323055,0.00121192447114,0.0191061567766,0.0997085897432
8455,shoegaze,electronica,73,6259,28305,2435982,2.99673807114e-05,0.0116632049848,0.00257904963787,0.0142422546227,0.0901418350076
2863,shoegaze,Psychedelic Rock,46,6259,7259,2435982,1.88835549688e-05,0.00734941683975,0.00633696101391,0.0136863778537,0.0879463201071
10066,shoegaze,folk,81,6259,43598,2435982,3.32514772277e-05,0.0129413644352,0.00185788338915,0.0147992478244,0.0799483422859
17551,shoegaze,slowcore,23,6259,1081,2435982,9.4417774844e-06,0.00367470841988,0.0212765957447,0.0249513041646,0.0738208068521
609,shoegaze,90s,56,6259,15714,2435982,2.29886756142e-05,0.00894711615274,0.0035637011582,0.0125108173109,0.0732990432188
3326,shoegaze,USA,51,6259,12232,2435982,2.09361152915e-05,0.00814826649625,0.00416939175932,0.0123176582556,0.0711269243488
1527,shoegaze,Garage Rock,36,6259,5316,2435982,1.47784343234e-05,0.00575171752676,0.00677200902935,0.0125237265561,0.0575630110944
25742,shoegaze,space rock,15,6259,387,2435982,6.15768096809e-06,0.00239654896948,0.0387596899225,0.041156238892,0.0571983875135
18605,shoegaze,00s,48,6259,15036,2435982,1.97045790979e-05,0.00766895670235,0.00319233838787,0.0108612950902,0.0482405631092
6426,shoegaze,chillout,48,6259,20008,2435982,1.97045790979e-05,0.00766895670235,0.00239904038385,0.0100679970862,0.0362527542438
2902,shoegaze,Scottish,24,6259,2680,2435982,9.85228954894e-06,0.00383447835117,0.0089552238806,0.0127897022318,0.0338313949119
5195,shoegaze,art rock,27,6259,4537,2435982,1.10838257426e-05,0.00431378814507,0.00595106898832,0.0102648571334,0.0284540104571
1399,shoegaze,Experimental Rock,21,6259,2329,2435982,8.62075335532e-06,0.00335516855728,0.00901674538429,0.0123719139416,0.0260801070225
13864,shoegaze,new wave,35,6259,12368,2435982,1.43679222589e-05,0.00559194759546,0.0028298835705,0.00842183116597,0.0227366056877
13483,shoegaze,melancholic,21,6259,2918,2435982,8.62075335532e-06,0.00335516855728,0.00719671007539,0.0105518786327,0.020815822226
5929,shoegaze,british,53,6259,49436,2435982,2.17571394206e-05,0.00846780635884,0.00107209321142,0.00953989957027,0.01975173539
760,shoegaze,All,26,6259,6358,2435982,1.0673313678e-05,0.00415401821377,0.00408933626927,0.00824335448304,0.0181309472305
2262,shoegaze,Mellow,27,6259,7329,2435982,1.10838257426e-05,0.00431378814507,0.00368399508801,0.00799778323308,0.0176143874258
438,shoegaze,80s,40,6259,24769,2435982,1.64204825816e-05,0.00639079725196,0.00161492187815,0.00800571913011,0.0169469861453
26267,shoegaze,danish,16,6259,1650,2435982,6.56819303263e-06,0.00255631890078,0.00969696969697,0.0122532885978,0.0162815961147
12637,shoegaze,indietronica,23,6259,5024,2435982,9.4417774844e-06,0.00367470841988,0.00457802547771,0.00825273389758,0.015883816124
13941,shoegaze,new york,21,6259,3955,2435982,8.62075335532e-06,0.00335516855728,0.00530973451327,0.00866490307055,0.0153579189015
2773,shoegaze,Progressive rock,28,6259,10308,2435982,1.14943378071e-05,0.00447355807637,0.00271633682577,0.00718989490214,0.0139675636052
6497,shoegaze,chillwave,20,6259,4207,2435982,8.21024129078e-06,0.00319539862598,0.00475398145947,0.00794938008545,0.0124720673827
96,shoegaze,10s,20,6259,5092,2435982,8.21024129078e-06,0.00319539862598,0.00392772977219,0.00712312839817,0.0103043965984
5476,shoegaze,beautiful,18,6259,3802,2435982,7.3892171617e-06,0.00287585876338,0.00473435034193,0.00761020910531,0.0100606577781
6027,shoegaze,britpop,24,6259,11623,2435982,9.85228954894e-06,0.00383447835117,0.00206487137572,0.00589934972689,0.00780075181655
15679,shoegaze,punk,27,6259,16620,2435982,1.10838257426e-05,0.00431378814507,0.00162454873646,0.00593833688153,0.00776749972586
21832,shoegaze,french,17,6259,4525,2435982,6.97870509716e-06,0.00271608883208,0.00375690607735,0.00647299490943,0.00712113393604
10193,shoegaze,folk rock,21,6259,9564,2435982,8.62075335532e-06,0.00335516855728,0.00219573400251,0.00555090255979,0.00635095872599
14904,shoegaze,pop punk,18,6259,6184,2435982,7.3892171617e-06,0.00287585876338,0.0029107373868,0.00578659615019,0.00618541734674
11047,shoegaze,hardcore,17,6259,5329,2435982,6.97870509716e-06,0.00271608883208,0.00319009194971,0.00590618078179,0.00604675005828
13394,shoegaze,male vocalists,28,6259,24312,2435982,1.14943378071e-05,0.00447355807637,0.00115169463639,0.00562525271276,0.00592208150882
1601,shoegaze,Grunge,17,6259,5577,2435982,6.97870509716e-06,0.00271608883208,0.00304823381746,0.00576432264955,0.00577786104726
3491,shoegaze,acoustic,27,6259,23967,2435982,1.10838257426e-05,0.00431378814507,0.00112654900488,0.00544033714995,0.00538639985996
17467,shoegaze,singer-songwriter,32,6259,53297,2435982,1.31363860653e-05,0.00511263780157,0.000600409028651,0.00571304683022,0.0040324421396
12034,shoegaze,indie folk,19,6259,12598,2435982,7.79972922624e-06,0.00303562869468,0.00150817590094,0.00454380459562,0.00357092042505
8701,shoegaze,emo,17,6259,9178,2435982,6.97870509716e-06,0.00271608883208,0.00185225539333,0.00456834422541,0.00351090989982
18099,shoegaze,synthpop,18,6259,12933,2435982,7.3892171617e-06,0.00287585876338,0.00139178844816,0.00426764721154,0.00295759845915
18345,shoegaze,trip-hop,17,6259,12332,2435982,6.97870509716e-06,0.00271608883208,0.00137852740837,0.00409461624045,0.00261296878532
